"","tau","beta","k","DIC"
"1",0.293,0.174,NA,17745.944
"2",0.207,0.035,NA,15938.178
"3",0.303,0.091,0.047,17639.755
"4",0.204,0.032,0.007,15943.255
"5",0.276,0.196,NA,43790.416
"6",0.183,0.071,NA,39731.801
"7",0.28,0.054,0.042,43563.175
"8",0.185,0.063,0.004,39725.88
"9",0.223,0.382,NA,83830.698
"10",0.204,0.297,NA,78513.7
"11",0.231,0.024,0.025,82197.689
"12",0.185,0.035,0.002,77493.819
"13",0.141,0.327,NA,33323.596
"14",0.151,0.263,NA,31956.924
"15",0.142,0.069,0.007,32713.38
"16",0.123,0.046,0.001,31445.575
"17",0.128,0.766,NA,75450.668
"18",0.136,0.772,NA,75327.986
"19",0.122,0.036,0.001,70061.266
"20",0.125,0.043,0.001,69985.495
"21",0.167,0.183,NA,167857.983
"22",0.126,0.094,NA,157415.023
"23",0.177,0.062,0.013,166925.61
"24",0.121,0.018,0,157212.909
"25",0.093,1.454,NA,41547.183
"26",0.091,1.438,NA,41519.401
"27",0.1,0.057,0,33837.279
"28",0.106,0.066,0,33816.59
"29",0.097,1.095,NA,111610.197
"30",0.106,1.13,NA,111591.484
"31",0.102,0.039,0,97705.508
"32",0.103,0.045,0,97704.715
"33",0.112,0.351,NA,243810.318
"34",0.111,0.308,NA,234864.496
"35",0.121,0.029,0.004,239975.04
"36",0.097,0.013,0.001,231526.24
